,Borough,Neighborhood,ID,Name
0,Bronx,Wakefield,4edbac4e775bcc53fc0ed5f8,Hong Kong China King
1,Bronx,Co-op City,4c66dcfaaebea593955a74d0,Chinese Buffet
2,Bronx,Eastchester,4dabc3dc93a04642f09ccabd,Xing Lung Chinese Restaurant
3,Manhattan,Marble Hill,4bcbae5d68f976b01da46183,Ming Moon Buffet
4,Bronx,Norwood,4e2e08021838f1c552b6b8eb,Choi Yuan - Chinese Restaurant
5,Bronx,Norwood,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant
6,Bronx,Baychester,4c1a8bac8b3aa593a8c8955f,Dragon City
7,Bronx,Baychester,4cd1dfb17b6854812887c9f8,No. 1 Chinese Restaurant
8,Bronx,Baychester,4eadecbf9911d5c95181ee84,Yummy House
9,Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant
10,Bronx,Pelham Parkway,4e4cf8c9bd413c4cc66da6c3,Hong Kong Restaurant
11,Bronx,Pelham Parkway,4c7dbf7f10916dcba78e2a96,Chef King
12,Bronx,City Island,4bfc652bf14fa593c1f5c9d4,City Island Chinese Resturant
13,Bronx,Bedford Park,4e2e08021838f1c552b6b8eb,Choi Yuan - Chinese Restaurant
14,Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant
15,Bronx,University Heights,4e78d316fa769112d5872477,NO.1 Chinese Restaurant
16,Bronx,Morris Heights,4e78d316fa769112d5872477,NO.1 Chinese Restaurant
17,Bronx,Morris Heights,4ded52a2ae6052cbed0423a8,China Wang
18,Bronx,Morris Heights,4d6063aae4fe5481abaf7f9e,NO.1 restaurant
19,Bronx,Fordham,566f33e7498e44c2501bda81,Panda Express
20,Bronx,Melrose,4ce9aeae678aa093b7a0efea,Merry Land Buffet
21,Bronx,Melrose,4f3288a219836c91c7e12861,Panda Chinese Restaurant
22,Bronx,Melrose,4e0a2d13a809495e61abc928,New Wok
23,Bronx,Melrose,4dab2c191e72c1ab9c0481bc,Good Taste Chinese Restaurant
24,Bronx,Port Morris,4df3e68688772e1f81559d14,Good Choice Chinese Restaurant
25,Bronx,Longwood,4d8c0a6e9f3fb1f7f646ffbc,Little Chopsticks Kitchen
26,Bronx,Morrisania,4cfece683f846dcb83408d37,Great Wall Chinese Food
27,Bronx,Morrisania,4f3288a219836c91c7e12861,Panda Chinese Restaurant
28,Bronx,Morrisania,4d8c0a6e9f3fb1f7f646ffbc,Little Chopsticks Kitchen
29,Bronx,Soundview,4e6d29a0b0fb273d16817e6c,King Dragon Restaurant
30,Bronx,Soundview,4ba01296f964a5209f5737e3,Yummy Yummy Chinese Kitchen
31,Bronx,Country Club,4b5f3d97f964a52074af29e3,Lee Xing
32,Bronx,Country Club,4e4dd9bcbd4101d0d79cbeb3,King Hing
33,Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant
34,Bronx,Parkchester,4d7273065f0037048835e0a0,King Wok
35,Bronx,Parkchester,4c3e68db0596c9282a558478,Golden Jaragua
36,Bronx,Parkchester,4bec8a4e976ac9289b2f610b,China King
37,Bronx,Westchester Square,4bc210da4cdfc9b61d799521,Quality Chef
38,Bronx,Westchester Square,4c1511087f7f2d7f84cde168,East Tremont Buffet
